id;description;date;status;when_created;when_updated
1;orquídea lima;2023-11-03T02:17:05;ONGOING;2023-11-03T04:05:06;2023-11-02T20:45:00
2;Algodão Artesanal Calçada;2023-11-02T20:36:41;ONGOING;2023-11-03T02:34:14;2023-11-03T07:34:35
3;Borracha Este;2023-11-03T04:37:22;BUDGET;2023-11-03T06:02:08;2023-11-03T09:03:34
4;Sul;2023-11-02T19:32:10;ONGOING;2023-11-02T23:43:56;2023-11-02T19:17:00
5;Oeste lima Sudeste;2023-11-03T12:05:27;BUDGET;2023-11-03T01:19:06;2023-11-02T19:20:11
6;Inteligente Norte Oeste;2023-11-02T18:01:37;BUDGET;2023-11-03T05:19:43;2023-11-03T00:56:17
7;roxo Música;2023-11-02T21:31:12;BUDGET;2023-11-02T15:10:09;2023-11-03T11:44:02
8;Sul cinzento Sul;2023-11-02T18:53:41;COMPLETED;2023-11-03T02:21:29;2023-11-03T01:49:50
9;Sudeste;2023-11-03T05:41:20;ONGOING;2023-11-02T14:30:23;2023-11-02T23:32:41
10;Borracha;2023-11-02T14:40:46;COMPLETED;2023-11-02T21:03:26;2023-11-03T01:27:57
