id;bio;skills;speaking_languages;stars;completed_tasks;hourly_rate
1;NordesteXX;ciano Plástico;Edgar Sudeste Noroeste;480;1875;492
2;MarcaXXXXX;JogosXXXXX;Alameda Senegal;894;1081;630
3;SapatosXXX;Artesanal Noroeste Nordeste;ciano Genérico Camisa;632;672;884
4;Este Guiana;Tuvalu Ladeira amarelo;Sudeste;493;4680;64
5;Casa Norte Este;SodoesteXX;Oeste;864;4165;171
6;Congelado ouro ouro;Viela Sodoeste violeta;turquesa Oeste;506;1626;728
7;Marta Argélia;Juliana Genérico Beleza;Electrónica;278;717;977
8;Caminho Sul;Música azul;Cocos Níger;856;4332;462
9;Plástico Madeira Atum;LindaXXXXX;Nordeste Sul;650;1725;557
10;Jardim Sudeste;Barros Norte;Noroeste;373;1215;827
